n,L,r,channel,gamma_L,gL,gamma,lambda_coh,gL_lam,m2_zero,m2_noise,delta_tilde,delta_tilde_low,delta_tilde_high,D_M,D_M_low,D_M_high,ell_act,j_act,n_samples,wallclock_s,status,profile
6,3,1,amp_damp,0.01,0.01,0.0033333333333333335,0.9999999999998899,0.009999999999998899,0.00010883735971907877,0.00010667867166566701,0.0198340722246807,0.019834072224658716,0.019834072224704236,0.020033407593078246,0.02003340759305583,0.020033407593102407,1,1,100,2.5966684818267822,ok,colab_safe
6,3,1,amp_damp,0.03,0.03,0.01,0.9999999999998899,0.029999999999996696,0.00010883735971907877,0.00010246821368872834,0.05851985059900289,0.058519850598965584,0.05851985059901212,0.06030201512101179,0.06030201512097207,0.06030201512102163,1,1,100,2.5811710357666016,ok,colab_safe
6,3,1,amp_damp,0.1,0.1,0.03333333333333333,0.9999999999998899,0.09999999999998899,0.00010883735971907877,8.880521228665843e-05,0.1840558010973945,0.18405580109737207,0.1840558010974026,0.2034093100540892,0.20340931005406165,0.20340931005409899,1,1,100,2.580719470977783,ok,colab_safe
6,3,1,dephase,0.01,0.01,0.0033333333333333335,3.9959999999999996,0.039959999999999996,0.00010883735971907877,0.00010316635165686267,0.05210534394488808,0.0521053439448429,0.05210534394490296,0.05351190520639028,0.053511905206342504,0.053511905206406064,1,1,100,3.795184373855591,ok,colab_safe
6,3,1,dephase,0.03,0.03,0.01,3.9959999999999996,0.11987999999999999,0.00010883735971907877,9.259480112442869e-05,0.1492369774181762,0.1492369774181671,0.14923697741824377,0.16162165854011074,0.16162165854009997,0.16162165854019012,1,1,100,4.447256088256836,ok,colab_safe
6,3,1,dephase,0.1,0.1,0.03333333333333333,3.9959999999999996,0.39959999999999996,0.00010883735971907877,6.267180612022793e-05,0.42417009855815346,0.42417009855810117,0.4241700985581556,0.5519429718956235,0.5519429718955327,0.5519429718956272,1,1,100,2.5605859756469727,ok,colab_safe
6,3,1,depol,0.01,0.01,0.0033333333333333335,5.321790806718796,0.05321790806718796,0.00010883735971907877,9.869531886183498e-05,0.09318528934753212,0.09318528934750447,0.09318528934754942,0.09781713788168481,0.09781713788165415,0.09781713788170385,1,1,100,3.680856943130493,ok,colab_safe
6,3,1,depol,0.03,0.03,0.01,5.321790806718796,0.15965372420156387,0.00010883735971907877,8.113948377968656e-05,0.25448867935498887,0.2544886793549467,0.254488679355005,0.29368495958746016,0.2936849595874037,0.2936849595874819,1,1,100,5.157837152481079,ok,colab_safe
6,3,1,depol,0.1,0.1,0.03333333333333333,5.321790806718796,0.5321790806718796,0.00010883735971907877,4.07831690609636e-05,0.625283366242718,0.6252833662426961,0.6252833662427235,0.9815851819679546,0.9815851819678963,0.9815851819679695,1,1,100,5.0216145515441895,ok,colab_safe
8,3,1,amp_damp,0.01,0.01,0.0033333333333333335,0.9999999999998899,0.009999999999998899,3.6019502685022977e-05,3.530508926727138e-05,0.01983407222467437,0.019834072224638066,0.019834072224758637,0.020033407593071935,0.020033407593034718,0.020033407593157904,1,1,100,32.43618631362915,ok,colab_safe
8,3,1,amp_damp,0.03,0.03,0.01,0.9999999999998899,0.029999999999996696,3.6019502685022977e-05,3.391164676924434e-05,0.05851985059902243,0.05851985059895237,0.05851985059905718,0.06030201512103249,0.06030201512095807,0.06030201512106949,1,1,100,32.81295108795166,ok,colab_safe
8,3,1,amp_damp,0.1,0.1,0.03333333333333333,0.9999999999998899,0.09999999999998899,3.6019502685022977e-05,2.9389904263201755e-05,0.1840558010973824,0.1840558010973522,0.18405580109744826,0.20340931005407434,0.2034093100540372,0.203409310054155,1,1,100,32.67302060127258,ok,colab_safe
8,3,1,dephase,0.01,0.01,0.0033333333333333335,3.9959999999999996,0.039959999999999996,3.6019502685022977e-05,3.414269410889981e-05,0.05210534394478317,0.052105343944752636,0.05210534394494393,0.05351190520627957,0.053511905206247365,0.05351190520644921,1,1,100,33.63271522521973,ok,colab_safe
8,3,1,dephase,0.03,0.03,0.01,3.9959999999999996,0.11987999999999999,3.6019502685022977e-05,3.0644060976202345e-05,0.1492369774182295,0.1492369774181481,0.14923697741836822,0.16162165854017344,0.16162165854007768,0.1616216585403364,1,1,100,34.815306425094604,ok,colab_safe
8,3,1,dephase,0.1,0.1,0.03333333333333333,3.9959999999999996,0.39959999999999996,3.6019502685022977e-05,2.074110668110324e-05,0.4241700985580943,0.42417009855807997,0.42417009855825716,0.5519429718955207,0.5519429718954959,0.5519429718958037,1,1,100,33.071714878082275,ok,colab_safe
8,3,1,depol,0.01,0.01,0.0033333333333333335,6.647586339772471,0.06647586339772471,3.6019502685022977e-05,3.18044614763074e-05,0.11702108287209101,0.1170210828720668,0.11702108287231047,0.12445395507555727,0.12445395507552989,0.12445395507580578,1,1,100,47.38364362716675,ok,colab_safe
8,3,1,depol,0.03,0.03,0.01,6.647586339772471,0.19942759019317413,3.6019502685022977e-05,2.4795153118433123e-05,0.31161867127213205,0.31161867127205356,0.31161867127217746,0.3734123377204999,0.3734123377203858,0.3734123377205658,1,1,100,47.41343140602112,ok,colab_safe
8,3,1,depol,0.1,0.1,0.03333333333333333,6.647586339772471,0.6647586339772471,3.6019502685022977e-05,1.0370804828351109e-05,0.712078067289271,0.712078067289249,0.712078067289284,1.2450659025681199,1.2450659025680437,1.2450659025681654,1,1,100,47.05872941017151,ok,colab_safe
10,3,1,amp_damp,0.01,0.01,0.0033333333333333335,0.9999999999998899,0.009999999999998899,0.0004594583919845361,0.00045034546105367375,0.019834072224692356,0.019834072224669312,0.019834072224714037,0.02003340759309022,0.020033407593066647,0.02003340759311223,2,0,100,741.8800532817841,ok,colab_safe
10,3,1,amp_damp,0.03,0.03,0.01,0.9999999999998899,0.029999999999996696,0.0004594583919845361,0.0004325709555291471,0.05851985059899378,0.05851985059898257,0.05851985059901347,0.060302015121002174,0.06030201512099026,0.06030201512102291,2,0,100,741.5688564777374,ok,colab_safe
10,3,1,amp_damp,0.1,0.1,0.03333333333333333,0.9999999999998899,0.09999999999998899,0.0004594583919845361,0.0003748924095769021,0.1840558010973934,0.18405580109737263,0.1840558010974115,0.20340931005408774,0.20340931005406238,0.20340931005410984,2,0,100,743.4142072200775,ok,colab_safe
10,3,1,dephase,0.01,0.01,0.0033333333333333335,3.9959999999999996,0.039959999999999996,0.0004594583919845361,0.00043551815444182405,0.052105343944871874,0.05210534394484356,0.0521053439449608,0.05351190520637323,0.053511905206343226,0.05351190520646689,2,0,100,743.9563415050507,ok,colab_safe
10,3,1,dephase,0.03,0.03,0.01,3.9959999999999996,0.11987999999999999,0.0004594583919845361,0.0003908902103153292,0.14923697741821784,0.14923697741816044,0.14923697741823794,0.16162165854015967,0.16162165854009222,0.1616216585401832,2,0,100,744.6496570110321,ok,colab_safe
10,3,1,dephase,0.1,0.1,0.03333333333333333,3.9959999999999996,0.39959999999999996,0.0004594583919845361,0.00026456988057307077,0.4241700985581838,0.4241700985581224,0.42417009855819576,0.5519429718956762,0.5519429718955695,0.5519429718956969,2,0,100,740.4310076236725,ok,colab_safe
10,3,1,depol,0.01,0.01,0.0033333333333333335,7.9716147346912125,0.07971614734691213,0.0004594583919845361,0.000395028381727321,0.14023034812558954,0.14023034812554425,0.1402303481256082,0.15109077226956844,0.15109077226951576,0.1510907722695902,2,0,100,1045.7903463840485,ok,colab_safe
10,3,1,depol,0.03,0.03,0.01,7.9716147346912125,0.23914844204073638,0.0004594583919845361,0.00029204522523292693,0.36437068007072937,0.36437068007070383,0.3643706800707457,0.453139715853506,0.45313971585346574,0.45313971585353163,2,0,100,1045.8139083385468,ok,colab_safe
10,3,1,depol,0.1,0.1,0.03333333333333333,7.9716147346912125,0.7971614734691213,0.0004594583919845361,0.00010164656670938357,0.7787687231691598,0.7787687231691539,0.7787687231691645,1.5085466231683304,1.5085466231683036,1.5085466231683515,2,0,100,1033.641996383667,ok,colab_safe
