variant,held,n_train,n_test,alpha,beta,R2_test,RMSE_test
LOCO,amp_damp,72,24,0.9993770583622751,1.6497404763191426,-0.3604289906876019,1.356335058213992
LOCO,depol,72,24,1.0044660602146793,0.9396841498979698,0.9894820529761019,0.1174844654066139
LOCO,dephase,72,24,0.9968485105501855,0.970999246406409,0.8515919273508263,0.45634762103313464
LOCO,x_err,72,24,1.0074647020524963,0.8897910080826819,0.9448524996879831,0.2665309145644041
LODO,L=3,72,24,0.9996567025582186,0.9620915172576496,0.9875449769356264,0.15756757951170355
LODO,L=4,72,24,1.0016139650375007,0.9669031167811792,0.9598093257954219,0.28426361443308257
LODO,L=5,72,24,1.0025146717497686,0.9598229458012444,0.9921865471222596,0.1238611485058448
LODO,L=6,72,24,1.0043709918341488,0.9656806260854777,0.97226987977371,0.2337935367473402
LONO,gL=0.010,80,16,1.0027534643240696,0.9611521583019339,0.931915328287335,0.21455782530752376
LONO,gL=0.030,80,16,1.0019729389354248,0.961589833609451,0.9328230733311323,0.21255064571420368
LONO,gL=0.050,80,16,1.0019971415351083,0.9620346554820303,0.9337069825082902,0.21057191298159694
LONO,gL=0.100,80,16,1.0020984896007241,0.9631780422674483,0.9358673441374322,0.2056650643893676
LONO,gL=0.200,80,16,1.0020283676628658,0.9655986765855213,0.9398827806360103,0.19619267151013722
LONO,gL=0.300,80,16,1.0016260724615478,0.9681939426419391,0.9432880620470623,0.1875569274044292
