variant,channel,gamma_L,lambda_coh,m2_pred,m2_loss,kappa,wallclock_s,kappa_std
baseline,amp_damp,0.1,0.9999999999998899,0.00533967395565717,0.0013443065693943357,0.2517581748544959,100.77883982658386,
depth_mismatch_LT5_LS3,amp_damp,0.1,0.9999999999998899,0.00533967395565717,0.001047427713814282,0.19615948885878592,96.89533472061157,
label_noise_10pct,amp_damp,0.1,0.9999999999998899,0.00533967395565717,0.0012800724265130904,0.2397285746551819,100.48677587509155,
imbalanced_75_25,amp_damp,0.1,0.9999999999998899,0.00533967395565717,0.0013443065693943357,0.2517581748544959,97.9947898387909,
regression_MSE,amp_damp,0.1,0.9999999999998899,0.00533967395565717,2.9987048756267493e-05,0.005615895091215713,100.42988920211792,
non_median_25pct,amp_damp,0.1,0.9999999999998899,0.00533967395565717,0.0013443065693943357,0.2517581748544959,97.2931740283966,
baseline,dephase,0.1,3.9959999999998885,0.003768326230829297,0.0009513697577609033,0.2524648078442866,100.18671751022339,
depth_mismatch_LT5_LS3,dephase,0.1,3.9959999999998885,0.003768326230829297,0.0007301842499158995,0.19376885258557022,100.53170704841614,
label_noise_10pct,dephase,0.1,3.9959999999998885,0.003768326230829297,0.0008989413625150216,0.23855189478040262,97.49528670310974,
imbalanced_75_25,dephase,0.1,3.9959999999998885,0.003768326230829297,0.0009513697577609033,0.2524648078442866,100.3287878036499,
regression_MSE,dephase,0.1,3.9959999999998885,0.003768326230829297,3.0527134180580005e-05,0.00810097966859464,97.15498185157776,
non_median_25pct,dephase,0.1,3.9959999999998885,0.003768326230829297,0.0009513697577609033,0.2524648078442866,100.26618576049805,
baseline,depol,0.1,6.647586339771916,0.0018842088067120963,0.0004745953166828322,0.25188042588071263,141.46445488929749,
depth_mismatch_LT5_LS3,depol,0.1,6.647586339771916,0.0018842088067120963,0.00037253049696186216,0.19771189670422984,143.63895750045776,
label_noise_10pct,depol,0.1,6.647586339771916,0.0018842088067120963,0.00045177740815825773,0.23977035164515528,141.00807166099548,
imbalanced_75_25,depol,0.1,6.647586339771916,0.0018842088067120963,0.0004745953166828322,0.25188042588071263,143.4769208431244,
regression_MSE,depol,0.1,6.647586339771916,0.0018842088067120963,9.348147406897909e-06,0.004961311810876325,139.5019178390503,
non_median_25pct,depol,0.1,6.647586339771916,0.0018842088067120963,0.0004745953166828322,0.25188042588071263,140.0757656097412,
multi_teacher_5seeds,amp_damp,0.1,0.9999999999998899,,,0.24086782168705093,,0.03445042850496541
multi_teacher_5seeds,dephase,0.1,3.9959999999998885,,,0.2436747309120618,,0.0415939387289038
multi_teacher_5seeds,depol,0.1,6.647586339771916,,,0.22808324008729222,,0.057883055973212576
