cutoff,n_rows,alpha_point,alpha_lo95,alpha_hi95,beta_point,beta_lo95,beta_hi95,R2
0.006723357536499335,5,1.0693284384608512,0.8630368999274425,3.0902398343824804,0.848265056003041,-7.650604760949148e-14,2.1579430677886196,0.8866221264576917
0.008531678524172805,6,1.10352516247176,0.8885709296840495,2.9619564500140845,0.9621730020745936,0.500451376606868,2.0690713103148224,0.8894012498700357
0.010826367338740546,11,1.0559447040782695,1.0004168556829767,1.804264387503559,0.9477238573075731,-7.662881201661358e-14,1.8574144714253389,0.9462324795187438
0.01373823795883263,12,1.0005704845380594,0.6970061282937907,1.404627537084922,0.8401308104183727,0.49166067477379916,1.307971436698031,0.9070203263092496
0.017433288221999882,12,1.0005704845380594,0.6430252611556996,1.3059122671848087,0.8401308104183727,0.3945578345013392,1.2127793311591846,0.9070203263092496
0.022122162910704492,15,0.9833550721711973,0.8023351100935062,1.1852898164614174,0.8219910417075252,0.5006046065658902,1.0353034598794415,0.9086240057424746
0.02807216203941177,16,1.0116500680505762,0.812987600360066,1.248795842594644,0.8841483549387782,0.6327015922429,1.093867610399338,0.9101147856979274
0.035622478902624426,22,1.0301394770343557,0.9520313614383196,1.1542288596770092,0.9072870973409,0.7137817695304661,1.0513763206899405,0.9495358511219093
0.04520353656360243,28,0.974947841011465,0.8800165169594836,1.0756849759055167,0.8357285129475132,0.6814770828963352,0.9511569285224193,0.9292774467083253
0.057361525104486784,33,0.9923146496402988,0.9119644105773448,1.0714674133893225,0.8366896284765319,0.6775937659233774,0.9487118274786456,0.9461362077474798
0.0727895384398315,38,1.0228516506532177,0.9495437873568124,1.1267605816847333,0.904834482762116,0.8005390981405037,0.9863490794393979,0.9516303329015218
0.09236708571873861,44,1.0311970025702988,0.9619835252820846,1.1187355440096125,0.9420513389344872,0.8624353593859051,1.013924059798844,0.9498584718796139
0.11721022975334805,48,1.0332002470880748,0.9808591741187727,1.1043345322401925,0.9419593572623549,0.8700533594262146,1.0038722115435232,0.9570882663329185
0.14873521072935117,54,0.99640418075067,0.9366419075949913,1.0574558667877891,0.9012426863602828,0.8274950147176963,0.963375921018124,0.9495309957001068
0.18873918221350977,55,1.0013666972341664,0.9363005043282363,1.0758937953915644,0.9109684614975107,0.8439712989204897,0.9777132225752639,0.9506650504934878
0.2395026619987486,74,1.0087956474647535,0.9512238148504337,1.057829705900569,0.9320784818760449,0.8877769262457355,0.9794128003647351,0.9613306753039342
0.3039195382313198,78,1.0151153969134676,0.971201487630956,1.059183948507312,0.9299098769447068,0.8754498796065561,0.979254649895921,0.9652287463541702
0.38566204211634725,83,1.0206661701915543,0.9843684888981881,1.0642198563581575,0.9397446532994396,0.9056154566080754,0.9786447827778141,0.9684738160877916
0.4893900918477494,92,1.0137526492357192,0.973042060959257,1.0532077247773037,0.9440071792642551,0.9090574048502327,0.9822379406217754,0.9689654301122892
0.6210169418915616,92,1.0137526492357192,0.9729326747583169,1.0554431498966301,0.9440071792642551,0.9054444484210602,0.9810619452287894,0.9689654301122892
0.7880462815669912,96,1.0175369397266731,0.9794065295484032,1.055478501721317,0.948983019831088,0.9065121768205783,0.9850959624689525,0.9719003667431916
1.0,104,1.00885466260844,0.9751899786601506,1.042008392627398,0.9508665367896263,0.9177180439210697,0.9801691378799525,0.9735721785563015
