channel,gL,gamma,delta_coh_finite_single_layer,delta_coh_finite_layered,lambda_coh_worst,lambda_coh_typical,ratio_layered_vs_lambda,gamma_L
amp_damp,0.01,0.0025,0.0025000000000001,0.0099625624609376,0.99999999999989,0.99999999999989,1.0000000000001226,0.01
amp_damp,0.03,0.0075,0.0075,0.0296641843359373,0.99999999999989,0.99999999999989,1.000000000000101,0.03
amp_damp,0.05,0.0125,0.0125,0.0490702880859373,0.99999999999989,0.99999999999989,1.0000000000001064,0.05
amp_damp,0.1,0.025,0.0250000000000001,0.0963121093750003,0.99999999999989,0.99999999999989,1.0000000000001097,0.1
amp_damp,0.2,0.05,0.0500000000000002,0.1854937500000005,0.99999999999989,0.99999999999989,1.0000000000001048,0.2
amp_damp,0.3,0.075,0.075,0.2679058593749999,0.99999999999989,0.99999999999989,1.0000000000000977,0.3
depol,0.01,0.0025,0.0165394796642954,0.064346885146609,6.647586339771916,6.647586339771694,0.9924407092742258,0.01
depol,0.03,0.0075,0.0488658534211349,0.1801084042384908,6.647586339771916,6.647586339771694,0.9735438427400472,0.03
depol,0.05,0.0125,0.0802118366585569,0.2806217384164855,6.647586339771916,6.647586339771694,0.9571061546502322,0.05
depol,0.1,0.025,0.1544636469934086,0.4782316666947949,6.647586339771916,6.647586339771694,0.9256542649302664,0.1
depol,0.2,0.05,0.2866834516201808,0.7183354199465445,6.647586339771916,6.647586339771694,0.8964222269679089,0.2
depol,0.3,0.075,0.3996137237499999,0.8424988207388627,6.647586339771916,6.647586339771694,0.8993547604903793,0.3
dephase,0.01,0.0025,0.0099750000000001,0.0393069564245635,3.995999999999889,3.9959999999992224,0.9985210017802536,0.01
dephase,0.03,0.0075,0.0297749999999995,0.1138854984574248,3.995999999999889,3.9959999999992224,0.9937855129348966,0.03
dephase,0.05,0.0125,0.0493749999999998,0.1833481963377368,3.995999999999889,3.9959999999992224,0.9893479331154827,0.05
dephase,0.1,0.025,0.0975000000000004,0.3365795687109388,3.995999999999889,3.9959999999992224,0.979544202994809,0.1
dephase,0.2,0.05,0.1900000000000008,0.5695327900000018,3.995999999999889,3.9959999999992224,0.9653257719087724,0.2
dephase,0.3,0.075,0.2774999999999997,0.727509474960937,3.995999999999889,3.9959999999992224,0.9578944569689885,0.3
x_err,0.01,0.0025,0.0198044029525333,0.0763741809060414,7.973049945035338,7.97106191507535,0.9870250061960252,0.01
x_err,0.03,0.0075,0.0582609066462815,0.2094140593478888,7.973049945035338,7.97106191507535,0.9580690591073832,0.03
x_err,0.05,0.0125,0.0952273282896153,0.3201724710513025,7.973049945035338,7.97106191507535,0.9336730465728772,0.05
x_err,0.1,0.025,0.1814742322387295,0.5240121610742634,7.973049945035338,7.97106191507535,0.8896362990414924,0.1
x_err,0.2,0.05,0.3301466302904337,0.7436822871472724,7.973049945035338,7.97106191507535,0.8555626493837429,0.2
x_err,0.3,0.075,0.451638925779139,0.8431497217927622,7.973049945035338,7.97106191507535,0.865764686998487,0.3
gen_amp_damp,0.01,0.0025,0.0069786637673936,0.0275581756811515,2.7968518893388694,2.7968518893384253,0.9957231318885708,0.01
gen_amp_damp,0.03,0.0075,0.0208086692894022,0.0801141938738861,2.7968518893388694,2.7968518893384253,0.9853874242870008,0.03
gen_amp_damp,0.05,0.0125,0.0344704484561524,0.1294487100751223,2.7968518893388694,2.7968518893384253,0.9756567192166684,0.05
gen_amp_damp,0.1,0.025,0.0679008644953118,0.2400725144700379,2.7968518893388694,2.7968518893384253,0.953824132275846,0.1
gen_amp_damp,0.2,0.05,0.1317533858521823,0.4162675504452398,2.7968518893388694,2.7968518893384253,0.9197428049070416,0.2
gen_amp_damp,0.3,0.075,0.191774692630483,0.5469413728801853,2.7968518893388694,2.7968518893384253,0.8965762001612549,0.3
coh_overrot,0.01,0.0025,9.992007221626409e-16,3.885780586188048e-15,0.0,0.0,,0.01
coh_overrot,0.03,0.0075,3.3306690738754696e-16,1.4432899320127037e-15,0.0,0.0,,0.03
coh_overrot,0.05,0.0125,8.881784197001252e-16,3.552713678800501e-15,0.0,0.0,,0.05
coh_overrot,0.1,0.025,-6.661338147750939e-16,-2.4424906541753444e-15,0.0,0.0,,0.1
coh_overrot,0.2,0.05,-4.440892098500626e-16,-1.5543122344752194e-15,0.0,0.0,,0.2
coh_overrot,0.3,0.075,-2.220446049250313e-16,-1.5543122344752194e-15,0.0,0.0,,0.3
